  294/238    0.005    0.000    0.369    0.002 axis.py:65(__init__)
      149    0.000    0.000    0.344    0.002 backend_tkagg.py:498(flush_events)
      748    0.029    0.000    0.292    0.000 lines.py:506(draw)
    300/3    0.002    0.000    0.258    0.086 <frozen importlib._bootstrap>:2234(_find_and_load)
    300/3    0.001    0.000    0.258    0.086 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    291/3    0.001    0.000    0.257    0.086 <frozen importlib._bootstrap>:1186(_load_unlocked)
    251/3    0.000    0.000    0.257    0.086 <frozen importlib._bootstrap>:1122(_exec)
    251/3    0.001    0.000    0.257    0.086 <frozen importlib._bootstrap>:1465(exec_module)
    346/3    0.000    0.000    0.257    0.086 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
        1    0.000    0.000    0.257    0.257 jssp.py:8(<module>)
        1    0.000    0.000    0.256    0.256 solution.py:7(<module>)
      882    0.016    0.000    0.255    0.000 lines.py:134(__init__)
        1    0.000    0.000    0.253    0.253 plotter.py:7(<module>)
    94/66    0.001    0.000    0.244    0.004 axis.py:714(cla)
  193/165    0.001    0.000    0.242    0.001 axis.py:1605(_get_tick)
    94/66    0.001    0.000    0.240    0.004 axis.py:749(reset_ticks)
     4218    0.022    0.000    0.228    0.000 markers.py:175(_recache)
    16/12    0.000    0.000    0.227    0.019 __init__.py:1018(update_idletasks)
   291391    0.163    0.000    0.221    0.000 copy.py:256(_keep_alive)
        7    0.001    0.000    0.215    0.031 axes.py:843(cla)
        4    0.000    0.000    0.195    0.049 figure.py:844(add_subplot)
        4    0.000    0.000    0.195    0.049 axes.py:9215(__init__)
        4    0.000    0.000    0.194    0.049 axes.py:355(__init__)
       15    0.001    0.000    0.190    0.013 axis.py:938(_update_ticks)
  2387638    0.181    0.000    0.181    0.000 {built-in method id}
       15    0.000    0.000    0.180    0.012 axis.py:946(<listcomp>)
      449    0.000    0.000    0.180    0.000 axis.py:886(iter_ticks)
        1    0.000    0.000    0.168    0.168 pyplot.py:315(figure)
        1    0.000    0.000    0.168    0.168 backend_tkagg.py:73(new_figure_manager)
        1    0.000    0.000    0.167    0.167 backend_tkagg.py:82(new_figure_manager_given_figure)
        4    0.000    0.000    0.159    0.040 pyplot.py:527(clf)
       17    0.000    0.000    0.158    0.009 axis.py:1242(get_major_ticks)
        1    0.000    0.000    0.157    0.157 pyplot.py:17(<module>)
      554    0.014    0.000    0.156    0.000 text.py:534(draw)
     6897    0.023    0.000    0.152    0.000 path.py:99(__init__)
